Device Time,x,y,vx,vy,Pxx,Pyy,Pvx,Pvy
2016-03-25 17:18:08.966,0.0,0.0,0.0,0.0,24.390243902439046,24.390243902439046,8.919722497522375,8.919722497522375
2016-03-25 17:18:09.067,0.0,0.0,0.0,0.0,12.358745893293005,12.358745893293005,4.501080211136108,4.501080211136108
2016-03-25 17:18:09.166,0.0,0.0,0.0,0.0,8.297475507534411,8.297475507534411,3.0388502787730567,3.0388502787730567
2016-03-25 17:18:09.267,0.0,0.0,0.0,0.0,6.2670023312178875,6.2670023312178875,2.3217393583048533,2.3217393583048533
2016-03-25 17:18:09.367,0.0,0.0,0.0,0.0,5.053703750420512,5.053703750420512,1.9018676848986014,1.9018676848986014
2016-03-25 17:18:09.466,0.0,0.0,0.0,0.0,4.250295566007642,4.250295566007642,1.6303351697964885,1.6303351697964885
2016-03-25 17:18:09.567,0.0,0.0,0.0,0.0,3.6836102387865455,3.6836102387865455,1.4451450423469903,1.4451450423469903
2016-03-25 17:18:09.668,0.0,0.0,0.0,0.0,3.264077934765303,3.264077934765303,1.3123933921273343,1.3123933921273343
2016-03-25 17:18:09.767,-0.033047171981893414,0.0828069510644876,-0.004474328334127338,0.011211412813584572,2.94115640745363,2.94115640745363,1.2128729894301113,1.2128729894301113
2016-03-25 17:18:09.867,-0.05989420334530766,0.15007808741331216,-0.007912610446777204,0.019826784162276536,2.687940983431037,2.687940983431037,1.138401072422363,1.138401072422363
2016-03-25 17:18:09.967,-0.08221223730266612,0.20600082557605498,-0.01057763853971142,0.02650459765258066,2.484775354982928,2.484775354982928,1.0811259591933986,1.0811259591933986
2016-03-25 17:18:10.067,-0.10111468786973861,0.2533650690267222,-0.01264713504071993,0.031690175879396355,2.3191317628544867,2.3191317628544867,1.0364763355782085,1.0364763355782085
2016-03-25 17:18:10.168,-0.1173882297253344,0.2941420040340669,-0.014250819588400887,0.035708559901346894,2.183187362551271,2.183187362551271,1.0020483419081436,1.0020483419081436
2016-03-25 17:18:10.267,-0.13153438510329094,0.3295883047576174,-0.01547095066448637,0.038765866419587805,2.0680509003628478,2.0680509003628478,0.9731238436046422,0.9731238436046422
2016-03-25 17:18:10.368,-0.14401932616349927,0.36087206797893406,-0.01638503177728073,0.0410562975045111,1.9728094857660465,1.9728094857660465,0.9515215907907716,0.9515215907907716
2016-03-25 17:18:10.467,-0.1550771098206008,0.38857977472845523,-0.01704065318990091,0.042699101017665414,1.8903283515315699,1.8903283515315699,0.9325300525159688,0.9325300525159688
2016-03-25 17:18:10.568,-0.16500836129417212,0.41346470755210873,-0.01748567222385111,0.043814193994071084,1.8217182366177096,1.8217182366177096,0.9187138299945522,0.9187138299945522
2016-03-25 17:18:10.667,-0.17392018718810037,0.43579524558114424,-0.01775077390035674,0.04447846449702193,1.7611401893646619,1.7611401893646619,0.9058606002323483,0.9058606002323483
2016-03-25 17:18:10.767,-0.18845499214830216,0.41400548687649796,-0.01955375874723063,0.033761595355836435,1.7098566281267105,1.7098566281267105,0.8961458978886576,0.8961458978886576
2016-03-25 17:18:10.867,-0.20173834400734686,0.3938077463734165,-0.02095980417090464,0.024500202439923218,1.6655722094197383,1.6655722094197383,0.8881457659441826,0.8881457659441826
2016-03-25 17:18:10.967,-0.21392604914604718,0.37501700077994593,-0.022025438176695434,0.016506789306534368,1.6272251052954898,1.6272251052954898,0.8815266487609755,0.8815266487609755
2016-03-25 17:18:11.066,-0.22512086614558638,0.35747958131583457,-0.02279668912267889,0.009632192945069878,1.5929858853720773,1.5929858853720773,0.875238453289285,0.875238453289285
2016-03-25 17:18:11.168,-0.235527368066045,0.34108460342118846,-0.023320610269022154,0.0037109943843442396,1.5660412418301393,1.5660412418301393,0.8723869294289405,0.8723869294289405
2016-03-25 17:18:11.267,-0.2450893314027629,0.3257084726218876,-0.023626996466473232,-0.0013433055124151437,1.5398040880278017,1.5398040880278017,0.8675396105807182,0.8675396105807182
2016-03-25 17:18:11.368,-0.2540026157220956,0.3112676969310211,-0.02374946009976197,-0.005649627645307728,1.5188106255666132,1.5188106255666132,0.8650838490039363,0.8650838490039363
2016-03-25 17:18:11.467,-0.26223362961443825,0.2977112021707473,-0.023713029360800802,-0.009283485088745286,1.4985873420471973,1.4985873420471973,0.8613782143384808,0.8613782143384808
2016-03-25 17:18:11.567,-0.2699111781956173,0.28495233092369704,-0.023542266426579514,-0.012331276830259972,1.4818400413763797,1.4818400413763797,0.859073129803216,0.859073129803216
2016-03-25 17:18:11.667,-0.2770600410967131,0.2729405578426737,-0.02325787265587964,-0.01486233382576954,1.4672075505698956,1.4672075505698956,0.8570998912165351,0.8570998912165351
2016-03-25 17:18:11.767,-0.26600083168648003,0.2869846116350303,-0.017055293826073972,-0.008606387203436818,1.4544185509820835,1.4544185509820835,0.8554028033295223,0.8554028033295223
2016-03-25 17:18:11.868,-0.25542130038667,0.3003660259451723,-0.011644928789437885,-0.0031998774786127834,1.4442459219990054,1.4442459219990054,0.8547264580540517,0.8547264580540517
2016-03-25 17:18:11.968,-0.2452868350243891,0.31311544331742336,-0.0069508140059072,0.0014412266342168137,1.4344118227832523,1.4344118227832523,0.8532862145395758,0.8532862145395758
2016-03-25 17:18:12.069,-0.23560098724253717,0.3252588205875775,-0.0028902097113072604,0.005407119686522462,1.42682352120702,1.42682352120702,0.8528338359731645,0.8528338359731645
2016-03-25 17:18:12.168,-0.22635114876583606,0.33679403321808815,0.0005943301565781486,0.008761722515221353,1.4182170614322545,1.4182170614322545,0.8507996737440564,0.8507996737440564
